node_id,node_type,name,title_canonical,ai_type,job_family,posted_month,origine,source,famille,stage,focus
job_indeed_ma_143448fbcb2a6f92,Job,,Data Scientist / IA / ML,ml-first,DATA_SCIENTIST,2026-03,Maroc,indeed-ma,,,
job_indeed_ma_1922f9de7880f743,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-03,Maroc,indeed-ma,,,
job_indeed_ma_9d2a98ce0d78a157,Job,,Big Data Engineer,ml-first,DATA_ENGINEER,2026-03,Maroc,indeed-ma,,,
job_indeed_ma_9ddebd6827619e12,Job,,Data Engineer,non-ai,DATA_ENGINEER,2026-03,Maroc,indeed-ma,,,
job_indeed_ma_9f42679ad19ae42c,Job,,Google Cloud Data Engineer,non-ai,DATA_ENGINEER,2026-03,Maroc,indeed-ma,,,
job_indeed_ma_e085652f2b8d1a0f,Job,,Consultant Data Engineer & MLOps,ml-first,MLOPS_ENGINEER,2026-03,Maroc,indeed-ma,,,
job_indeed_ma_e096cd936c3b4246,Job,,Data Science Engineer,ml-first,OTHER,2026-03,Maroc,indeed-ma,,,
job_indeed_ma_0a4a46d745ce1c1b,Job,,Power BI Reporting & Data Analyst,non-ai,DATA_ANALYST,2026-04,Maroc,indeed-ma,,,
job_indeed_ma_5eba5554af8d709c,Job,,Data Analytics - Data Analyst - Casablanca,ml-first,DATA_ANALYST,2026-04,Maroc,indeed-ma,,,
job_indeed_ma_895767c6aa07fec4,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-04,Maroc,indeed-ma,,,
job_indeed_ma_8a2ebdc35790f099,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-04,Maroc,indeed-ma,,,
job_indeed_ma_c48da8bba4cec020,Job,,Data Scientist – Senior Consultant,ml-first,DATA_SCIENTIST,2026-04,Maroc,indeed-ma,,,
job_indeed_ma_cce60eeda060b4a0,Job,,Data Engineer - Permanent,ml-first,DATA_ENGINEER,2026-04,Maroc,indeed-ma,,,
